,Returns,Volume_Change,High_Low_Ratio,VIX,VIX_Change_5d,Short_Trend_Signal
2025-11-10,0.04041896522607,-0.1427597767955545,0.0280704336159027,17.6,0.025043680838672,1
2025-11-11,0.0041709459828358,-0.3286903742899385,0.0160100445017907,17.28,-0.0905263157894736,1
2025-11-12,-0.0157907594729576,0.2513746024866319,0.0293278129388334,17.51,-0.0277623542476401,1
2025-11-13,-0.028391002662824,0.1878420774952778,0.0201991281949673,20.0,0.0256410256410255,0
2025-11-14,-0.0077538988595976,0.073004678917746,0.0290357776029621,19.83,0.0393081761006288,0
2025-11-17,0.0311493261368629,0.6642925756465028,0.0366047346853031,22.38,0.271590909090909,1
2025-11-18,-0.0025962748680742,-0.0666695778637636,0.0381019954019599,24.69,0.4288194444444444,1
2025-11-19,0.0300056240886619,0.387321064226678,0.0599378724596721,23.66,0.3512278697886921,1
2025-11-20,-0.011474967998284,-0.0905249204899198,0.0614888944966345,26.42,0.3210000000000002,1
2025-11-21,0.0352737641198486,0.195283529920097,0.0342692091715368,23.43,0.1815431164901664,1
